timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692211904629,234,PUT specific Activity,200,OK,Stress test 1-1,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,234,0,0
1692211904721,144,POST Activity,200,OK,Stress test 1-2,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,144,0,0
1692211904633,236,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,236,0,0
1692211904865,113,PUT specific Activity,200,OK,Stress test 1-2,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/11,113,0,0
1692211904863,115,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,115,0,0
1692211904869,113,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,113,0,0
1692211904978,113,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/11,113,0,0
1692211904978,119,GET specific Activity,200,OK,Stress test 1-1,text,true,,352,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,119,0,0
1692211904983,118,POST Activity,200,OK,Stress test 1-3,text,true,,335,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,118,0,0
1692211905092,117,GET specific Activity,200,OK,Stress test 1-2,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/27,117,0,0
1692211905114,116,PUT specific Activity,200,OK,Stress test 1-3,text,true,,335,300,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,116,0,0
1692211905114,116,POST Activity,200,OK,Stress test 1-1,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,116,0,0
1692211905209,117,POST Activity,200,OK,Stress test 1-2,text,true,,330,293,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,117,0,0
1692211905230,113,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,113,0,0
1692211905230,122,PUT specific Activity,200,OK,Stress test 1-1,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,122,0,0
1692211905326,115,PUT specific Activity,200,OK,Stress test 1-2,text,true,,330,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/27,115,0,0
1692211905344,113,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,113,0,0
1692211905352,114,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,114,0,0
1692211905441,112,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/27,112,0,0
1692211905457,112,POST Activity,200,OK,Stress test 1-3,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,112,0,0
1692211905467,112,GET specific Activity,200,OK,Stress test 1-1,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,112,0,0
1692211905553,113,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,113,0,0
1692211905569,114,PUT specific Activity,200,OK,Stress test 1-3,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,114,0,0
1692211905579,114,POST Activity,200,OK,Stress test 1-1,text,true,,331,294,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,114,0,0
1692211905666,114,POST Activity,200,OK,Stress test 1-2,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,114,0,0
1692211905683,120,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,120,0,0
1692211905693,112,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,112,0,0
1692211905780,114,PUT specific Activity,200,OK,Stress test 1-2,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,114,0,0
1692211905804,115,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/12,115,0,0
1692211905805,114,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,114,0,0
1692211905895,135,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,135,0,0
1692211905920,114,GET specific Activity,200,OK,Stress test 1-1,text,true,,352,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,114,0,0
1692211905920,114,POST Activity,200,OK,Stress test 1-3,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,114,0,0
1692211906031,116,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,116,0,0
1692211906034,114,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/12,114,0,0
1692211906034,133,POST Activity,200,OK,Stress test 1-1,text,true,,336,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,133,0,0
1692211906147,112,POST Activity,200,OK,Stress test 1-2,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,112,0,0
1692211906148,111,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/12,111,0,0
1692211906167,175,PUT specific Activity,200,OK,Stress test 1-1,text,true,,336,301,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,175,0,0
1692211906259,113,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,113,0,0
1692211906260,112,GET specific Activity,200,OK,Stress test 1-3,text,true,,352,219,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/1,112,0,0
1692211906342,115,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/26,115,0,0
1692211906372,120,POST Activity,200,OK,Stress test 1-3,text,true,,330,293,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,120,0,0
1692211906372,174,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,174,0,0
1692211906458,119,GET specific Activity,200,OK,Stress test 1-1,text,true,,351,219,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/4,119,0,0
